,Date,Advances,Unchanged,Declines,Total,pct_Adv,pct_Unc,pct_Dec,MA20,MA60,MA200,pct_MA20,pct_MA60,pct_MA200,RSI>70,RSI<30,pct_RSI>70,pct_RSI<30,MACD>0,MACD>Signal,pct_MACD>0,pct_MACD>Signal,New_High_20d,New_High_60d,New_High_250d,New_Low_20d,New_Low_60d,New_Low_250d,pct_New_High_20d,pct_New_High_60d,pct_New_High_250d,pct_New_Low_20d,pct_New_Low_60d,pct_New_Low_250d
148,2020-07-01,33,22,25,80,41.25,27.5,31.25,26,64,0,32.5,80.0,0.0,2,0,2.5,0.0,54,13,67.5,16.25,2,2,0,1,0,0,2.5,2.5,0.0,1.25,0.0,0.0
149,2020-07-02,62,9,9,80,77.5,11.25,11.25,40,67,0,50.0,83.75,0.0,5,0,6.25,0.0,54,17,67.5,21.25,4,3,0,0,0,0,5.0,3.75,0.0,0.0,0.0,0.0
150,2020-07-03,22,23,35,80,27.5,28.75,43.75,40,67,0,50.0,83.75,0.0,3,0,3.75,0.0,55,16,68.75,20.0,3,3,0,0,0,0,3.75,3.75,0.0,0.0,0.0,0.0
151,2020-07-07,26,21,33,80,32.5,26.25,41.25,41,65,0,51.25,81.25,0.0,4,0,5.0,0.0,56,20,70.0,25.0,3,3,0,1,0,0,3.75,3.75,0.0,1.25,0.0,0.0
152,2020-07-08,24,13,43,80,30.0,16.25,53.75,39,63,0,48.75,78.75,0.0,4,0,5.0,0.0,53,25,66.25,31.25,6,6,0,2,0,0,7.5,7.5,0.0,2.5,0.0,0.0
153,2020-07-09,27,17,36,80,33.75,21.25,45.0,41,64,0,51.25,80.0,0.0,6,0,7.5,0.0,52,25,65.0,31.25,8,6,0,3,0,0,10.0,7.5,0.0,3.75,0.0,0.0
154,2020-07-10,14,13,53,80,17.5,16.25,66.25,26,60,0,32.5,75.0,0.0,6,0,7.5,0.0,51,21,63.75,26.25,6,4,0,4,0,0,7.5,5.0,0.0,5.0,0.0,0.0
155,2020-07-13,12,11,57,80,15.0,13.75,71.25,23,51,0,28.75,63.75,0.0,5,0,6.25,0.0,51,19,63.75,23.75,9,6,0,8,1,0,11.25,7.5,0.0,10.0,1.25,0.0
156,2020-07-14,14,14,52,80,17.5,17.5,65.0,23,49,0,28.75,61.25,0.0,3,2,3.75,2.5,45,18,56.25,22.5,2,2,0,21,1,0,2.5,2.5,0.0,26.25,1.25,0.0
157,2020-07-15,54,19,7,80,67.5,23.75,8.75,25,51,0,31.25,63.75,0.0,6,0,7.5,0.0,41,20,51.25,25.0,6,4,0,5,2,0,7.5,5.0,0.0,6.25,2.5,0.0
158,2020-07-16,30,21,29,80,37.5,26.25,36.25,28,49,0,35.0,61.25,0.0,7,0,8.75,0.0,37,21,46.25,26.25,9,8,0,3,1,0,11.25,10.0,0.0,3.75,1.25,0.0
159,2020-07-17,40,24,16,80,50.0,30.0,20.0,36,51,0,45.0,63.75,0.0,6,0,7.5,0.0,37,26,46.25,32.5,6,5,0,3,0,0,7.5,6.25,0.0,3.75,0.0,0.0
160,2020-07-20,42,10,28,80,52.5,12.5,35.0,39,48,0,48.75,60.0,0.0,8,1,10.0,1.25,40,29,50.0,36.25,8,4,0,5,0,0,10.0,5.0,0.0,6.25,0.0,0.0
161,2020-07-21,47,11,22,80,58.75,13.75,27.5,53,51,0,66.25,63.75,0.0,6,1,7.5,1.25,40,34,50.0,42.5,7,6,0,1,0,0,8.75,7.5,0.0,1.25,0.0,0.0
